residuals,maternal_ranks,,
0.29669748,4,,
0.79210843,4,,
1.02245557,4,,
-0.03022737,4,,
0.5273601,4,,
0.28667315,4,,
0.1157535,4,,
1.24133687,8,,
-1.52711943,8,,
-0.87069647,8,,
0.46812797,8,,
0.60959143,7,,
-0.03510654,7,,
1.04589815,12,,
1.83121541,12,,
0.06473576,10,,
0.71738493,10,,
1.56164218,11,,
-0.60243747,11,,
-0.92098571,9,,
-1.35413601,9,,
0.82128485,1,,
-0.29205576,1,,
-0.28751328,1,,
-0.44624577,1,,
-0.31527626,1,,
-0.4436337,1,,
-0.18011729,1,,
0.06489562,5,,
-0.50915653,5,,
-1.51440283,5,,
-0.34225994,5,,
0.8371726,5,,
-0.38775563,5,,
0.55935442,2,,
-1.02026241,2,,
-0.70207984,2,,
0.64232911,2,,
-0.26886599,2,,
0.5885899,1,,
0.59767247,1,,
-0.82242119,4,,
-0.48655952,4,,
-1.46128856,4,,
-1.0342527,3,,
-0.06060478,3,,
1.50321329,3,,
,,,
,,,
,,,
,,,